loc_code,O,E,OE,BC,Onull,Enull,OEnull,BCnull,outlier.0.01,outlier.0.05
1089,4,21.05940385,0.1899389,0.72885505,4,17.07894737,0.234206471,0.68289638,1,1
1194,11,21.0890398,0.521597953,0.439910587,9,17.07894737,0.526964561,0.414732593,0,0
1612,8,20.61545301,0.388058414,0.526498709,7,17.07894737,0.409861325,0.514754098,1,1
1642,11,21.12484827,0.520713799,0.466972741,9,17.07894737,0.526964561,0.438950555,0,0
1744,12,20.4998925,0.585368923,0.402600594,11,17.07894737,0.644067797,0.39081537,0,1
1769,20,21.11766331,0.94707448,0.257814986,19,17.07894737,1.11248074,0.250182349,0,0
1778,7,21.74377396,0.321931235,0.617051967,6,17.07894737,0.351309707,0.568985177,0,0
1793,5,20.4785644,0.24415774,0.687214663,4,17.07894737,0.234206471,0.655430712,0,1
1809,6,20.86192463,0.287605296,0.639661724,5,17.07894737,0.292758089,0.611442193,0,1
1834,9,20.53057108,0.43837066,0.49684782,9,17.07894737,0.526964561,0.445005045,0,1
1857,6,20.5255991,0.292317899,0.633920596,5,17.07894737,0.292758089,0.611442193,0,1
1865,6,21.78617641,0.275403994,0.651890833,5,17.07894737,0.292758089,0.611442193,0,0
1936,16,21.066974,0.759482591,0.33582261,12,17.07894737,0.702619414,0.332126697,0,1
2113,4,20.63402495,0.193854568,0.729612113,4,17.07894737,0.234206471,0.687890137,1,1
2154,9,20.89392188,0.430747279,0.533743465,7,17.07894737,0.409861325,0.508196721,0,0
2185,16,20.40829968,0.783994759,0.303424879,17,17.07894737,0.995377504,0.26023166,0,1
2208,10,20.56465388,0.486271253,0.429401706,10,17.07894737,0.585516179,0.414965986,0,1
2290,9,20.905252,0.430513825,0.539422606,8,17.07894737,0.468412943,0.494228751,0,0
2318,17,20.47634178,0.830226424,0.275101736,17,17.07894737,0.995377504,0.277220077,0,0
2320,10,20.66149506,0.483992082,0.504878322,6,17.07894737,0.351309707,0.566704675,1,1
